Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[0],[0],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",0,0.9999992945
[0],[1],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",0,0.6459655069
[0],[2],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",0,0.5822286451
[0],[3],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",0,0.6376030979
[0],[4],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",0,0.5640861684
[0],[5],"climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",0,0.6126441202
[1],[0],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",107,0.6459808965
[1],[1],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",107,1
[1],[2],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",107,0.6637598323
[1],[3],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",107,0.6416410257
[1],[4],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",107,0.5348233271
[1],[5],"the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",107,0.4862281004
[2],[0],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",214,0.5823128792
[2],[1],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",214,0.6637723788
[2],[2],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",214,0.9999995513
[2],[3],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",214,0.6302178398
[2],[4],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",214,0.5092208456
[2],[5],"as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",214,0.5091070203
[3],[0],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",321,0.6376340316
[3],[1],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",321,0.6416410257
[3],[2],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",321,0.6301714945
[3],[3],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",321,1
[3],[4],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",321,0.6462022739
[3],[5],"the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",321,0.5172292484
[4],[0],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",428,0.5640792118
[4],[1],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",428,0.5347791021
[4],[2],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",428,0.509124363
[4],[3],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",428,0.6461651545
[4],[4],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",428,0.9999995635
[4],[5],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",428,0.5093135157
[5],[0],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",536,0.6126754077
[5],[1],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",536,0.4862281004
[5],[2],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",536,0.5090394332
[5],[3],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",536,0.5172292484
[5],[4],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",536,0.5092795264
[5],[5],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",536,1
Document_Similarity --> 0.6494550342011699
